val_acc,bal_acc,mcc,auc,aucpr,report,hidden_dim,dropout
0.9382716049382716,0.956140350877193,0.8689021380971719,0.9904970760233919,0.9783702177452177,"              precision    recall  f1-score   support

           0     1.0000    0.9123    0.9541        57
           1     0.8276    1.0000    0.9057        24

    accuracy                         0.9383        81
   macro avg     0.9138    0.9561    0.9299        81
weighted avg     0.9489    0.9383    0.9398        81
",128,0.3
0.8888888888888888,0.9210526315789473,0.7825855808712295,0.9970760233918129,0.9936342592592592,"              precision    recall  f1-score   support

           0     1.0000    0.8421    0.9143        57
           1     0.7273    1.0000    0.8421        24

    accuracy                         0.8889        81
   macro avg     0.8636    0.9211    0.8782        81
weighted avg     0.9192    0.8889    0.8929        81
",128,0.3
0.8641975308641975,0.9035087719298245,0.7438974785860055,0.9941520467836258,0.9861112498612498,"              precision    recall  f1-score   support

           0     1.0000    0.8070    0.8932        57
           1     0.6857    1.0000    0.8136        24

    accuracy                         0.8642        81
   macro avg     0.8429    0.9035    0.8534        81
weighted avg     0.9069    0.8642    0.8696        81
",128,0.3
0.9753086419753086,0.9583333333333333,0.9410596263462709,1.0,0.9999999999999999,"              precision    recall  f1-score   support

           0     0.9661    1.0000    0.9828        57
           1     1.0000    0.9167    0.9565        24

    accuracy                         0.9753        81
   macro avg     0.9831    0.9583    0.9696        81
weighted avg     0.9761    0.9753    0.9750        81
",128,0.3
0.9629629629629629,0.9732142857142857,0.9192526911595537,0.9978571428571428,0.9957142857142858,"              precision    recall  f1-score   support

           0     1.0000    0.9464    0.9725        56
           1     0.8929    1.0000    0.9434        25

    accuracy                         0.9630        81
   macro avg     0.9464    0.9732    0.9579        81
weighted avg     0.9669    0.9630    0.9635        81
",128,0.3
0.9135802469135802,0.9385964912280702,0.8240856434303292,0.9926900584795322,0.9822986675160588,"              precision    recall  f1-score   support

           0     1.0000    0.8772    0.9346        57
           1     0.7742    1.0000    0.8727        24

    accuracy                         0.9136        81
   macro avg     0.8871    0.9386    0.9037        81
weighted avg     0.9331    0.9136    0.9163        81
",128,0.5
0.8888888888888888,0.9210526315789473,0.7825855808712295,0.9926900584795322,0.98578370554177,"              precision    recall  f1-score   support

           0     1.0000    0.8421    0.9143        57
           1     0.7273    1.0000    0.8421        24

    accuracy                         0.8889        81
   macro avg     0.8636    0.9211    0.8782        81
weighted avg     0.9192    0.8889    0.8929        81
",128,0.5
0.8395061728395061,0.8859649122807017,0.7076095233625271,1.0,0.9999999999999999,"              precision    recall  f1-score   support

           0     1.0000    0.7719    0.8713        57
           1     0.6486    1.0000    0.7869        24

    accuracy                         0.8395        81
   macro avg     0.8243    0.8860    0.8291        81
weighted avg     0.8959    0.8395    0.8463        81
",128,0.5
0.9259259259259259,0.9473684210526316,0.846043423048847,1.0,0.9999999999999999,"              precision    recall  f1-score   support

           0     1.0000    0.8947    0.9444        57
           1     0.8000    1.0000    0.8889        24

    accuracy                         0.9259        81
   macro avg     0.9000    0.9474    0.9167        81
weighted avg     0.9407    0.9259    0.9280        81
",128,0.5
0.9876543209876543,0.98,0.9711631658670143,1.0,1.0,"              precision    recall  f1-score   support

           0     0.9825    1.0000    0.9912        56
           1     1.0000    0.9600    0.9796        25

    accuracy                         0.9877        81
   macro avg     0.9912    0.9800    0.9854        81
weighted avg     0.9879    0.9877    0.9876        81
",128,0.5
